ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
-678755;1;20.03.2014;26.06.2013;85542,5;0;;;;;;23.07.2015;20.03.2014;1;4
-678747;1;20.03.2014;27.12.2012;4092;0;;;;;;23.07.2015;20.03.2014;1;4
-678744;1;20.03.2014;19.06.2013;23000;0;;;;;;23.07.2015;20.03.2014;1;4
-678742;1;20.03.2014;19.06.2013;37000;0;;;;;;23.07.2015;20.03.2014;1;4
-678735;4;20.03.2014;28.08.2012;255575;0;;;;domik;;23.07.2015;20.03.2014;1;4
-678734;1;20.03.2014;30.12.2012;42000;0;;;;;;23.07.2015;20.03.2014;1;4
-678727;1;20.03.2014;03.06.2013;170000;0;;;;;;23.07.2015;20.03.2014;1;4
-678726;1;20.03.2014;07.06.2013;4500;0;;;;;;23.07.2015;20.03.2014;1;4
-678718;1;20.03.2014;21.05.2013;49492,13;0;;;;;;23.07.2015;20.03.2014;1;4
-678717;1;20.03.2014;27.03.2013;7000;0;;;;ročna odločba. ;;23.07.2015;20.03.2014;1;4
-673913;1;11.02.2014;22.05.2013;9000;0;;;;;;23.07.2015;11.02.2014;1;4
-673890;4;11.02.2014;08.10.2012;9500;0;;;;;;23.07.2015;11.02.2014;1;4
-673877;1;11.02.2014;19.06.2013;26500;0;;;;;;23.07.2015;11.02.2014;1;4
-673875;4;11.02.2014;28.08.2012;255575;0;;;;domik;;23.07.2015;11.02.2014;1;4
-673854;1;11.02.2014;27.12.2012;915;0;;;;;;23.07.2015;11.02.2014;1;4
-673782;1;03.02.2014;21.06.2013;168000;0;;;;;;23.07.2015;03.02.2014;1;4
-673751;1;03.02.2014;03.06.2013;53000;0;;;;;;23.07.2015;03.02.2014;1;4
-673736;1;03.02.2014;28.05.2013;180000;0;;;;;;23.07.2015;03.02.2014;1;4
-673732;1;03.02.2014;29.05.2013;151000;0;;;;;;23.07.2015;03.02.2014;1;4
-673723;1;03.02.2014;16.05.2013;140500;0;;;;;;23.07.2015;03.02.2014;1;4
-673721;1;03.02.2014;29.05.2013;55000;0;;;;;;23.07.2015;03.02.2014;1;4
-673718;1;03.02.2014;31.05.2013;19000;0;;;;;;23.07.2015;03.02.2014;1;4
-673707;1;03.02.2014;23.05.2013;40000;0;;;;;;23.07.2015;03.02.2014;1;4
-673698;1;03.02.2014;15.05.2013;170000;0;;;;;;23.07.2015;03.02.2014;1;4
-673691;1;03.02.2014;10.05.2013;65000;0;;;;;;23.07.2015;03.02.2014;1;4
-673688;1;03.02.2014;23.05.2013;87400;0;;;;;;23.07.2015;03.02.2014;1;4
-673683;1;03.02.2014;23.05.2013;34000;0;;;;;;23.07.2015;03.02.2014;1;4
-673676;1;03.02.2014;18.05.2013;78500;0;;;;;;23.07.2015;03.02.2014;1;4
-673671;1;03.02.2014;22.05.2013;67500;0;;;;;;23.07.2015;03.02.2014;1;4
-673662;1;03.02.2014;07.05.2013;120000;0;;;;Osnova za odmero davka je 80% PTV v znesku 144.920,00 ?.;;23.07.2015;03.02.2014;1;4
-673638;1;03.02.2014;22.04.2013;47000;0;;;;;;23.07.2015;03.02.2014;1;4
-673609;1;03.02.2014;09.05.2013;130000;0;;;;;;23.07.2015;03.02.2014;1;4
-673605;1;03.02.2014;07.05.2013;76000;0;;;;;;23.07.2015;03.02.2014;1;4
-673596;1;03.02.2014;19.04.2013;80000;0;;;;;;23.07.2015;03.02.2014;1;4
-673595;1;03.02.2014;19.04.2013;68000;0;;;;;;23.07.2015;03.02.2014;1;4
-673593;1;03.02.2014;05.05.2013;41000;0;;;;;;23.07.2015;03.02.2014;1;4
-673575;1;03.02.2014;15.04.2013;75000;0;;;;;;23.07.2015;03.02.2014;1;4
-673565;1;03.02.2014;24.04.2013;92000;0;;;;;;23.07.2015;03.02.2014;1;4
-673557;1;03.02.2014;19.04.2013;70000;0;;;;;;23.07.2015;03.02.2014;1;4
-673539;1;03.02.2014;12.04.2013;95000;0;;;;;;23.07.2015;03.02.2014;1;4
-673525;1;03.02.2014;15.04.2013;31000;0;;;;;;23.07.2015;03.02.2014;1;4
-673522;1;03.02.2014;16.04.2013;20000;0;;;;;;23.07.2015;03.02.2014;1;4
-673500;1;03.02.2014;10.04.2013;78000;0;;;;;;23.07.2015;03.02.2014;1;4
-673479;1;03.02.2014;25.03.2013;123000;0;;;;;;23.07.2015;03.02.2014;1;4
-673468;1;03.02.2014;25.03.2013;75120;0;;;;;;23.07.2015;03.02.2014;1;4
-673451;1;03.02.2014;25.03.2013;93000;0;;;;;;23.07.2015;03.02.2014;1;4
-673446;1;03.02.2014;25.03.2013;600000;0;;;;;;23.07.2015;03.02.2014;1;4
-673427;1;03.02.2014;22.03.2013;255000;0;;;;;;23.07.2015;03.02.2014;1;4
-673426;1;03.02.2014;15.03.2013;62000;0;;;;;;23.07.2015;03.02.2014;1;4
-673414;1;03.02.2014;20.03.2013;39000;0;;;;;;23.07.2015;03.02.2014;1;4
-673403;1;03.02.2014;08.03.2013;116000;0;;;;;;23.07.2015;03.02.2014;1;4
-673397;1;03.02.2014;19.03.2013;20000;0;;;;;;23.07.2015;03.02.2014;1;4
-673395;1;03.02.2014;12.03.2013;58000;0;;;;;;23.07.2015;03.02.2014;1;4
-673394;1;03.02.2014;15.03.2013;53500;0;;;;;;23.07.2015;03.02.2014;1;4
-673392;1;03.02.2014;26.02.2013;138000;0;;;;;;23.07.2015;03.02.2014;1;4
-673386;1;03.02.2014;15.03.2013;195000;0;;;;;;23.07.2015;03.02.2014;1;4
-673357;1;03.02.2014;18.02.2013;96000;0;;;;;;23.07.2015;03.02.2014;1;4
-673356;1;03.02.2014;18.02.2013;60000;0;;;;;;23.07.2015;03.02.2014;1;4
-673324;1;03.02.2014;26.02.2013;125000;0;;;;;;23.07.2015;03.02.2014;1;4
-673311;1;03.02.2014;12.02.2013;80000;0;;;;;;23.07.2015;03.02.2014;1;4
-673295;1;03.02.2014;12.02.2013;15000;0;;;;;;23.07.2015;03.02.2014;1;4
-673291;1;03.02.2014;07.02.2013;125000;0;;;;;;23.07.2015;03.02.2014;1;4
-673274;1;03.02.2014;05.02.2013;2349,35;0;;;;;;23.07.2015;03.02.2014;1;4
-673267;1;03.02.2014;29.01.2013;73000;0;;;;;;23.07.2015;03.02.2014;1;4
-673265;1;03.02.2014;01.02.2013;32000;0;;;;;;23.07.2015;03.02.2014;1;4
-673264;1;03.02.2014;11.02.2013;8000;0;;;;;;23.07.2015;03.02.2014;1;4
