ID Posla;Šifra KO;Ime KO;Občina;Parcelna številka;Vrsta zemljišča;Vrsta trajnega nasada;Starost trajnega nasada;Prodani delež parcele;Opombe o nepremičnini;Površina parcele;Pogodbena cena parcele;Stopnja DDV parcele
-678771;2595;ŠKOFIJE;KOPER;384/7;7;;;1/1;;636;;
-678771;2595;ŠKOFIJE;KOPER;386/1;7;;;1/1;;828;;
-678766;707;HOTINJA VAS;HOČE-SLIVNICA;22/24;5;;;2/6;;537;;
-678765;2121;KLANEC;KRANJ;329/3;3;;;1/1;;45;;
-678763;344;DRBETINCI;SVETI ANDRAŽ V SLOV. GORICAH;187;7;;;1/1;;4597;;
-678763;344;DRBETINCI;SVETI ANDRAŽ V SLOV. GORICAH;189;7;;;1/1;;982;;
-678763;344;DRBETINCI;SVETI ANDRAŽ V SLOV. GORICAH;188;7;;;1/1;;442;;
-678761;882;RAVNE;RAVNE NA KOROŠKEM;776/30;10;;;1/1;;17;;
-678760;882;RAVNE;RAVNE NA KOROŠKEM;1124/4;5;;;1/2;;40;;
-678758;959;ŠOŠTANJ;ŠOŠTANJ;695;5;;;1/2;;193;;
-678755;676;PEKRE;MARIBOR;572/29;5;;;1/1;;496;;
-678753;669;LOVRENC NA POHORJU;LOVRENC NA POHORJU;201/18;3;;;1/1;;80;;
-678753;669;LOVRENC NA POHORJU;LOVRENC NA POHORJU;201/17;3;;;1/1;;555;;
-678753;669;LOVRENC NA POHORJU;LOVRENC NA POHORJU;212/2;3;;;1/1;;339;;
-678753;669;LOVRENC NA POHORJU;LOVRENC NA POHORJU;209/3;5;;;1/1;;193;;
-678751;659;TABOR;MARIBOR;2428;5;;;1/1;;19;;
-678751;659;TABOR;MARIBOR;2453;5;;;1/1;;16;;
-678750;1910;VOLČJI POTOK;KAMNIK;725/9;10;;;1/6;;630;;
-678749;1908;PODGORJE;KAMNIK;1431/2;10;;;1/6;;705;;
-678748;1796;CESTA;DOBREPOLJE;2284/4;9;;;1/1;;5622;;
-678748;1795;VELIKE LIPLJENE;GROSUPLJE;1723;3;;;1/1;;879;;
-678748;1795;VELIKE LIPLJENE;GROSUPLJE;*122;3;;;1/1;;57;;
-678747;2399;PLANINA;AJDOVŠČINA;433/147;7;;;1/1;;10525;;
-678746;530;PARTINJE;LENART;333/1;7;;;1/1;;1041;;
-678745;2679;GRADIŠČE II;LJUBLJANA;*256;5;;;1/10;;203;;
-678744;658;KOROŠKA VRATA;MARIBOR;2088/2;2;;;2/12;;268;;
-678744;658;KOROŠKA VRATA;MARIBOR;2088/2;5;;;2/12;;268;;
-678741;1042;PANEČE;LAŠKO;1267;7;;;1/1;;2086;;
-678741;1042;PANEČE;LAŠKO;890;7;;;1/1;;6852;;
-678741;1042;PANEČE;LAŠKO;891;7;;;1/1;;2067;;
