ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
33125;5;23.04.2015;16.02.2012;59464,7;0;;19.01.2027;;;0;23.07.2015;23.04.2015;1;4
49877;5;23.04.2015;07.12.2010;80258,5;0;;19.11.2030;;;0;23.07.2015;23.04.2015;1;4
89713;3;18.05.2015;15.11.2013;125925;1;3;;;;0;24.08.2015;18.05.2015;1;4
152246;3;11.05.2015;23.06.2014;69107,64;1;3;;;;0;23.07.2015;11.05.2015;1;4
152248;3;11.05.2015;23.06.2014;94376,39;1;3;;;;0;02.06.2023;11.05.2015;1;4
152251;3;11.05.2015;23.06.2014;59115,98;1;3;;;;0;23.07.2015;11.05.2015;1;4
162207;1;05.03.2015;25.08.2014;124000;0;;;;;1;23.07.2015;05.03.2015;1;4
173457;1;05.03.2015;03.11.2014;73000;0;;;;;1;23.07.2015;05.03.2015;1;4
178195;1;12.01.2015;09.12.2014;275000;0;;;;;0;24.08.2015;12.01.2015;1;4
179535;1;18.03.2015;10.11.2014;5041000;1;4;;;;0;23.07.2015;18.03.2015;1;4
181107;1;05.01.2015;11.12.2014;175000;0;;;;;0;02.06.2023;05.01.2015;1;4
181380;1;07.01.2015;12.11.2014;3764,31;1;4;;;;0;04.08.2015;07.01.2015;1;4
181773;1;08.01.2015;01.12.2014;72626,21;1;3;;;;1;23.07.2015;08.01.2015;1;4
181781;1;08.01.2015;18.12.2014;25613;0;;;;;0;23.07.2015;08.01.2015;1;4
181876;1;08.01.2015;05.12.2014;28280;0;;;;;0;23.07.2015;08.01.2015;1;4
181972;1;09.01.2015;19.12.2014;19807,92;1;4;;;;0;23.07.2015;09.01.2015;1;4
182154;4;12.01.2015;03.03.2014;183700;1;3;;;;;23.07.2015;12.01.2015;1;4
182215;1;12.01.2015;19.12.2014;60880;1;4;;;;1;02.06.2023;12.01.2015;1;4
182522;1;13.01.2015;12.01.2015;79300;1;4;;;;;30.07.2019;13.01.2015;1;2
182773;1;14.01.2015;15.12.2014;63899;0;;;;;;23.07.2015;14.01.2015;1;4
182782;1;14.01.2015;16.12.2014;3006;0;;;;;;23.07.2015;14.01.2015;1;4
182878;1;14.01.2015;22.12.2014;167416,6;1;3;;;;0;02.06.2023;14.01.2015;1;4
182936;1;14.01.2015;23.12.2014;132987,53;1;3;;;;0;02.06.2023;14.01.2015;1;4
182987;1;14.01.2015;19.11.2014;157926,8;1;3;;;;0;02.06.2023;14.01.2015;1;4
183080;1;15.01.2015;25.11.2014;208582;1;3;;;;0;02.06.2023;15.01.2015;1;4
183101;1;15.01.2015;25.11.2014;157278,2;1;3;;;;0;02.06.2023;15.01.2015;1;4
183170;1;15.01.2015;12.03.2014;2117,92;1;4;;;KUPOPRODAJNA POGODBA ZA DOSEGO JAVNE KORISTI;0;21.04.2016;15.01.2015;1;4
183183;5;15.01.2015;07.04.2008;115000;0;;29.12.2014;29.12.2014;;0;23.07.2015;15.01.2015;1;4
183233;1;15.01.2015;27.11.2014;137291,2;1;3;;;;0;02.06.2023;15.01.2015;1;4
183255;1;15.01.2015;27.11.2014;122787,4;1;3;;;;0;02.06.2023;15.01.2015;1;4
183302;1;15.01.2015;04.12.2014;56686,76;1;3;;;;;23.07.2015;15.01.2015;1;4
183563;1;15.01.2015;02.12.2014;109003,98;1;3;;;;1;23.07.2015;15.01.2015;1;4
183639;1;16.01.2015;19.12.2014;158547,8;1;3;;;;0;02.06.2023;16.01.2015;1;4
183657;1;16.01.2015;05.11.2014;121829,75;1;3;;;;0;02.06.2023;16.01.2015;1;4
183663;1;16.01.2015;05.11.2014;121829,75;1;3;;;;0;02.06.2023;16.01.2015;1;4
183689;1;16.01.2015;17.12.2014;183290,19;1;3;;;;0;23.07.2015;16.01.2015;1;4
183713;1;16.01.2015;02.12.2014;176483,83;1;3;;;;0;23.07.2015;16.01.2015;1;4
183716;1;16.01.2015;19.12.2014;121733;1;3;;;;0;23.07.2015;16.01.2015;1;4
183719;1;16.01.2015;19.12.2014;104707,5;1;3;;;;0;23.07.2015;16.01.2015;1;4
183768;1;16.01.2015;16.12.2014;173716,78;1;3;;;;0;23.07.2015;16.01.2015;1;4
183865;1;19.01.2015;17.12.2014;87190,87;1;3;;;;0;23.07.2015;19.01.2015;1;4
183883;1;19.01.2015;18.12.2014;87285,78;1;3;;;;0;23.07.2015;19.01.2015;1;4
183920;3;19.01.2015;28.08.2014;73295,64;0;;;;PARCELA MEDNO;0;23.07.2015;19.01.2015;1;4
183926;1;19.01.2015;06.11.2014;212653,81;1;3;;;;0;02.06.2023;19.01.2015;1;4
183940;1;19.01.2015;11.11.2014;189317,71;1;3;;;;0;02.06.2023;19.01.2015;1;4
183976;1;19.01.2015;04.11.2014;120093,09;1;3;;;;0;02.06.2023;19.01.2015;1;4
184014;1;19.01.2015;11.11.2014;178534,93;1;3;;;;0;02.06.2023;19.01.2015;1;4
184031;1;19.01.2015;18.11.2014;143008,33;1;3;;;;0;02.06.2023;19.01.2015;1;4
184052;1;19.01.2015;13.11.2014;121733;1;3;;;;0;02.06.2023;19.01.2015;1;4
184311;1;20.01.2015;13.12.2014;60500;0;;;;;1;23.07.2015;20.01.2015;1;4
184318;1;20.01.2015;14.11.2014;54000;0;;;;;1;23.07.2015;20.01.2015;1;4
184332;1;20.01.2015;22.12.2014;90000;0;;;;;0;23.07.2015;20.01.2015;1;4
184337;2;20.01.2015;10.05.2014;7785;0;;;;;0;23.07.2015;20.01.2015;1;4
184343;1;20.01.2015;09.12.2014;63000;0;;;;;0;23.07.2015;20.01.2015;1;4
184368;1;20.01.2015;22.12.2014;30660;0;;;;;1;23.07.2015;20.01.2015;1;4
184385;1;20.01.2015;29.12.2014;114000;0;;;;;0;02.06.2023;20.01.2015;1;4
184394;3;20.01.2015;28.10.2014;28500;0;;;;;0;23.07.2015;20.01.2015;1;4
184402;1;20.01.2015;03.12.2014;50000;0;;;;;0;23.07.2015;20.01.2015;1;4
184407;1;20.01.2015;23.11.2014;4500;0;;;;;0;23.07.2015;20.01.2015;1;4
184412;1;20.01.2015;28.11.2014;60000;0;;;;;0;23.07.2015;20.01.2015;1;4
184413;3;20.01.2015;23.12.2014;65964,3;0;;;;;0;23.07.2015;20.01.2015;1;4
184417;1;20.01.2015;09.12.2014;130000;0;;;;;0;23.07.2015;20.01.2015;1;4
184424;1;20.01.2015;10.12.2014;5900;0;;;;;0;23.07.2015;20.01.2015;1;4
184426;4;20.01.2015;24.12.2014;18375;0;;;;;0;23.07.2015;20.01.2015;1;4
184430;1;20.01.2015;22.12.2014;97000;0;;;;;1;23.07.2015;20.01.2015;1;4
184436;1;20.01.2015;12.12.2014;80000;0;;;;;0;23.07.2015;20.01.2015;1;4
184453;1;20.01.2015;17.12.2014;116000;0;;;;;0;23.07.2015;20.01.2015;1;4
184467;1;20.01.2015;10.10.2014;20000;0;;;;;1;23.07.2015;20.01.2015;1;4
184473;1;20.01.2015;27.10.2014;1000;0;;;;Stavbo št. 304 je zgradil kupec v letu 2012.;0;23.07.2015;20.01.2015;1;4
184476;1;20.01.2015;15.12.2014;15000;0;;;;;0;23.07.2015;20.01.2015;1;4
184481;1;20.01.2015;19.12.2014;196000;0;;;;;0;23.07.2015;20.01.2015;1;4
184482;1;20.01.2015;09.12.2014;45000;0;;;;;0;23.07.2015;20.01.2015;1;4
184485;1;20.01.2015;18.12.2014;105000;0;;;;;1;23.07.2015;20.01.2015;1;4
184487;1;20.01.2015;17.12.2014;103000;0;;;;;1;23.07.2015;20.01.2015;1;4
184490;1;20.01.2015;11.12.2014;120000;0;;;;;0;23.07.2015;20.01.2015;1;4
184514;1;20.01.2015;03.11.2014;35000;0;;;;;0;23.07.2015;20.01.2015;1;4
184520;1;20.01.2015;08.12.2014;47000;0;;;;;0;23.07.2015;20.01.2015;1;4
184522;1;20.01.2015;15.12.2014;37000;0;;;;;1;23.07.2015;20.01.2015;1;4
184525;1;20.01.2015;17.12.2014;57000;0;;;;;1;23.07.2015;20.01.2015;1;4
184529;1;20.01.2015;12.12.2014;115000;0;;;;;1;23.07.2015;20.01.2015;1;4
184539;1;20.01.2015;20.11.2014;17500;0;;;;;0;23.07.2015;20.01.2015;1;4
184543;1;20.01.2015;04.12.2014;6000;0;;;;;0;23.07.2015;20.01.2015;1;4
184563;1;20.01.2015;17.11.2014;14500;0;;;;;1;23.07.2015;20.01.2015;1;4
184575;1;20.01.2015;15.12.2014;105000;0;;;;;0;23.07.2015;20.01.2015;1;4
184578;1;20.01.2015;03.12.2014;111205,4;0;;;;;0;02.06.2023;20.01.2015;1;4
184579;1;20.01.2015;09.12.2014;20000;0;;;;;0;23.07.2015;20.01.2015;1;4
184586;1;20.01.2015;01.12.2014;95000;0;;;;;1;23.07.2015;20.01.2015;1;4
184591;1;20.01.2015;15.12.2014;30000;0;;;;;0;23.07.2015;20.01.2015;1;4
184618;1;20.01.2015;11.12.2014;1500;0;;;;;0;23.07.2015;20.01.2015;1;4
184620;1;20.01.2015;16.12.2014;80000;0;;;;;0;23.07.2015;20.01.2015;1;4
184623;1;20.01.2015;10.12.2014;111000;0;;;;;1;23.07.2015;20.01.2015;1;4
184628;1;20.01.2015;15.12.2014;71000;0;;;;;1;23.07.2015;20.01.2015;1;4
184634;1;20.01.2015;15.12.2014;55000;0;;;;;0;23.07.2015;20.01.2015;1;4
184648;1;20.01.2015;03.12.2014;85000;0;;;;;1;23.07.2015;20.01.2015;1;4
184659;1;20.01.2015;14.11.2014;225000;0;;;;;0;23.07.2015;20.01.2015;1;4
184662;1;20.01.2015;12.12.2014;40690;0;;;;;0;23.07.2015;20.01.2015;1;4
184673;1;20.01.2015;05.12.2014;50000;0;;;;;0;23.07.2015;20.01.2015;1;4
184674;1;20.01.2015;26.11.2014;37000;0;;;;;1;23.07.2015;20.01.2015;1;4
184678;1;20.01.2015;30.11.2014;6900;0;;;;;1;23.07.2015;20.01.2015;1;4
184686;1;20.01.2015;11.12.2014;32000;0;;;;;1;23.07.2015;20.01.2015;1;4
184690;4;20.01.2015;12.12.2014;17575;0;;;;;0;23.07.2015;20.01.2015;1;4
184695;1;20.01.2015;12.12.2014;78000;0;;;;;1;23.07.2015;20.01.2015;1;4
184704;1;20.01.2015;10.10.2014;36000;0;;;;;1;23.07.2015;20.01.2015;1;4
184719;1;20.01.2015;24.11.2014;84000;0;;;;;1;23.07.2015;20.01.2015;1;4
184723;1;20.01.2015;15.12.2014;101000;0;;;;;1;23.07.2015;20.01.2015;1;4
184728;1;20.01.2015;07.11.2014;55300;0;;;;;0;23.07.2015;20.01.2015;1;4
184731;1;20.01.2015;10.12.2014;178000;0;;;;;0;23.07.2015;20.01.2015;1;4
184733;1;20.01.2015;12.12.2014;54000;0;;;;;1;23.07.2015;20.01.2015;1;4
184735;1;20.01.2015;24.11.2014;237000;0;;;;;0;23.07.2015;20.01.2015;1;4
184745;1;20.01.2015;11.12.2014;200000;0;;;;;0;23.07.2015;20.01.2015;1;4
184757;1;20.01.2015;12.12.2014;83000;0;;;;;0;23.07.2015;20.01.2015;1;4
184764;1;20.01.2015;12.12.2014;123000;0;;;;;1;23.07.2015;20.01.2015;1;4
184780;1;20.01.2015;05.12.2014;117000;0;;;;;0;23.07.2015;20.01.2015;1;4
184793;1;20.01.2015;04.12.2014;28000;0;;;;;0;23.07.2015;20.01.2015;1;4
184810;1;20.01.2015;14.11.2014;35000;0;;;;;0;23.07.2015;20.01.2015;1;4
184818;1;20.01.2015;12.12.2014;95000;0;;;;;0;02.06.2023;20.01.2015;1;4
184827;1;20.01.2015;05.12.2014;90000;0;;;;;1;23.07.2015;20.01.2015;1;4
184828;1;20.01.2015;08.12.2014;4400;0;;;;;0;23.07.2015;20.01.2015;1;4
184832;1;20.01.2015;10.12.2014;52000;0;;;;;1;23.07.2015;20.01.2015;1;4
184856;1;20.01.2015;12.12.2014;77000;0;;;;;0;23.07.2015;20.01.2015;1;4
184861;1;20.01.2015;05.12.2014;28280;0;;;;;0;23.07.2015;20.01.2015;1;4
184869;1;20.01.2015;10.12.2014;210000;0;;;;;1;23.07.2015;20.01.2015;1;4
184876;1;20.01.2015;01.12.2014;75000;0;;;;Cenitev sodnega cenilca z dne 24.11.14 za vrednost 78.000,00 EUR;1;23.07.2015;20.01.2015;1;4
184885;1;20.01.2015;01.12.2014;30000;0;;;;;1;23.07.2015;20.01.2015;1;4
184891;3;20.01.2015;17.09.2013;95260,32;0;;;;;0;23.07.2015;20.01.2015;1;4
184906;1;20.01.2015;21.11.2014;105000;0;;;;;0;23.07.2015;20.01.2015;1;4
184908;1;20.01.2015;05.12.2014;25000;0;;;;;0;23.07.2015;20.01.2015;1;4
184914;1;20.01.2015;08.12.2014;38700;0;;;;;0;23.07.2015;20.01.2015;1;4
184917;1;20.01.2015;08.12.2014;235000;0;;;;;1;23.07.2015;20.01.2015;1;4
184920;1;20.01.2015;09.12.2014;95000;0;;;;;0;23.07.2015;20.01.2015;1;4
184928;1;20.01.2015;25.11.2014;250;0;;;;;0;23.07.2015;20.01.2015;1;4
184929;1;20.01.2015;18.11.2014;7500;0;;;;;0;23.07.2015;20.01.2015;1;4
184940;1;20.01.2015;18.11.2014;63000;0;;;;;0;23.07.2015;20.01.2015;1;4
184942;1;20.01.2015;05.12.2014;80000;0;;;;;0;23.07.2015;20.01.2015;1;4
184985;1;20.01.2015;01.12.2014;23570;0;;;;;0;23.07.2015;20.01.2015;1;4
184988;1;20.01.2015;27.11.2014;170200;0;;;;;0;23.07.2015;20.01.2015;1;4
184989;1;20.01.2015;13.11.2014;91900;0;;;;;0;23.07.2015;20.01.2015;1;4
184992;1;20.01.2015;29.10.2014;130000;0;;;;;0;23.07.2015;20.01.2015;1;4
185002;1;20.01.2015;09.12.2014;95000;0;;;;;1;23.07.2015;20.01.2015;1;4
185007;1;20.01.2015;06.12.2014;130000;0;;;;na parceli je nedokončana stanovanjska stavba in še nima hišne številke;1;23.07.2015;20.01.2015;1;4
185017;1;20.01.2015;02.12.2014;97000;0;;;;;1;23.07.2015;20.01.2015;1;4
185018;1;20.01.2015;01.12.2014;72500;0;;;;;0;23.07.2015;20.01.2015;1;4
185030;1;20.01.2015;24.11.2014;54500;0;;;;;0;23.07.2015;20.01.2015;1;4
185069;1;20.01.2015;20.11.2014;27000;0;;;;;0;23.07.2015;20.01.2015;1;4
185075;1;20.01.2015;21.11.2014;2008,3;0;;;;;0;23.07.2015;20.01.2015;1;4
185077;1;20.01.2015;04.12.2014;65000;0;;;;;0;23.07.2015;20.01.2015;1;4
185082;1;20.01.2015;03.12.2014;38000;0;;;;;0;23.07.2015;20.01.2015;1;4
185086;1;20.01.2015;03.12.2014;110000;0;;;;;0;23.07.2015;20.01.2015;1;4
185100;1;20.01.2015;22.11.2014;39000;0;;;;;0;23.07.2015;20.01.2015;1;4
185113;4;20.01.2015;21.11.2014;20000;0;;;;sporazum o delitvi skupnega premoženja.;0;23.07.2015;20.01.2015;1;4
185131;1;20.01.2015;26.11.2014;56000;0;;;;;1;23.07.2015;20.01.2015;1;4
185138;1;20.01.2015;11.11.2014;55000;0;;;;;0;23.07.2015;20.01.2015;1;4
185168;1;20.01.2015;28.11.2014;667;0;;;;;0;23.07.2015;20.01.2015;1;4
185176;1;20.01.2015;25.11.2014;11900;0;;;;parcela z ruševinami stavbe;0;23.07.2015;20.01.2015;1;4
185185;1;20.01.2015;17.11.2014;32000;0;;;;;0;23.07.2015;20.01.2015;1;4
185189;1;20.01.2015;27.11.2014;128700;0;;;;;1;23.07.2015;20.01.2015;1;4
185206;1;20.01.2015;24.11.2014;607000;0;;;;;1;23.07.2015;20.01.2015;1;4
185210;1;20.01.2015;19.11.2014;135000;0;;;;;1;23.07.2015;20.01.2015;1;4
185211;1;20.01.2015;17.11.2014;19000;0;;;;;0;23.07.2015;20.01.2015;1;4
185212;1;20.01.2015;18.11.2014;200000;0;;;;;0;23.07.2015;20.01.2015;1;4
185213;1;20.01.2015;28.11.2014;150000;0;;;;;0;23.07.2015;20.01.2015;1;4
185225;1;20.01.2015;26.11.2014;3000;0;;;;;1;23.07.2015;20.01.2015;1;4
185228;1;20.01.2015;24.11.2014;101000;0;;;;;0;23.07.2015;20.01.2015;1;4
185239;1;20.01.2015;01.12.2014;60791;0;;;;;0;23.07.2015;20.01.2015;1;4
185256;1;20.01.2015;13.11.2014;136000;0;;;;;1;23.07.2015;20.01.2015;1;4
185261;1;20.01.2015;24.11.2014;66000;0;;;;;0;23.07.2015;20.01.2015;1;4
