ID Posla;Šifra KO;Ime KO;Občina;Parcelna številka;Vrsta zemljišča;Vrsta trajnega nasada;Starost trajnega nasada;Prodani delež parcele;Opombe o nepremičnini;Površina parcele;Pogodbena cena parcele;Stopnja DDV parcele
432542;1754;ŠENTVID NAD LJUBLJANO;LJUBLJANA;848/40;5;;;1/1;;47;;
432542;1754;ŠENTVID NAD LJUBLJANO;LJUBLJANA;848/41;5;;;89/5000;;51;;
432542;1754;ŠENTVID NAD LJUBLJANO;LJUBLJANA;845;5;;;411/2500;;4963;;
432542;1738;DRAVLJE;LJUBLJANA;59/10;5;;;3411/10000;;24;;
432542;1738;DRAVLJE;LJUBLJANA;59/11;5;;;3411/10000;;26;;
432542;1738;DRAVLJE;LJUBLJANA;59/12;5;;;3411/10000;;11;;
432542;1738;DRAVLJE;LJUBLJANA;59/13;5;;;3411/10000;;11;;
432542;1738;DRAVLJE;LJUBLJANA;59/14;5;;;3411/10000;;44;;
432542;1738;DRAVLJE;LJUBLJANA;59/16;5;;;3411/10000;;14;;
432542;1754;ŠENTVID NAD LJUBLJANO;LJUBLJANA;848/17;5;;;14/625;;186;;
432542;1754;ŠENTVID NAD LJUBLJANO;LJUBLJANA;848/18;5;;;14/625;;27;;
432542;1754;ŠENTVID NAD LJUBLJANO;LJUBLJANA;848/21;5;;;89/5000;;1168;;
432542;1754;ŠENTVID NAD LJUBLJANO;LJUBLJANA;848/39;5;;;1/1;;33;;
432542;1754;ŠENTVID NAD LJUBLJANO;LJUBLJANA;848/34;5;;;1/1;;22;;
432542;1738;DRAVLJE;LJUBLJANA;59/8;5;;;3411/10000;;58;;
432542;1738;DRAVLJE;LJUBLJANA;59/9;5;;;3411/10000;;22;;
436154;2590;HRIBI;ANKARAN;2004/1;7;;;1/1;;3104;;
441179;2223;KOBARID;KOBARID;347/1;2;;;1/1;;1481;;
441179;2223;KOBARID;KOBARID;347/5;2;;;1/1;;1216;;
441179;2223;KOBARID;KOBARID;347/6;2;;;1/1;;397;;
441179;2223;KOBARID;KOBARID;347/7;6;;;1/1;;725;;
441179;2223;KOBARID;KOBARID;347/8;2;;;1/1;;533;;
441179;2223;KOBARID;KOBARID;347/9;6;;;1/1;;366;;
441179;2223;KOBARID;KOBARID;347/4;5;;;1/1;;377;;
441330;2223;KOBARID;KOBARID;346/9;2;;;1/1;;2650;;
441330;2223;KOBARID;KOBARID;347/10;2;;;1/1;;2369;;
441330;2223;KOBARID;KOBARID;347/11;2;;;1/1;;129;;
441332;2222;SVINO;KOBARID;666/4;2;;;1/1;;1286;;
445371;2631;PORTOROŽ;PIRAN;6992/10;7;;;1/1;;323;;
445423;2606;SEMEDELA;KOPER;2006/38;5;;;1/1;;51;;
445423;2606;SEMEDELA;KOPER;2006/39;5;;;1/1;;485;;
445423;2606;SEMEDELA;KOPER;2006/34;5;;;1/2;;17;;
445423;2606;SEMEDELA;KOPER;2006/35;5;;;1/2;;134;;
445458;2631;PORTOROŽ;PIRAN;3803;9;;;1/1;;373;;
445458;2631;PORTOROŽ;PIRAN;3802;9;;;1/1;;356;;
445458;2631;PORTOROŽ;PIRAN;3801;9;;;1/1;;722;;
445458;2631;PORTOROŽ;PIRAN;2887/1;7;;;1/1;;909;;
445458;2628;MALIJA;IZOLA;2624/2;7;;;1/1;;778;;
445458;2628;MALIJA;IZOLA;2668;5;;;1/1;;486;;
445458;2628;MALIJA;IZOLA;2669;5;;;1/1;;426;;
445458;2628;MALIJA;IZOLA;2670;7;;;1/1;;1562;;
445458;2628;MALIJA;IZOLA;2671/1;7;;;1/1;;6763;;
445458;2628;MALIJA;IZOLA;2672;7;;;1/1;;1935;;
445458;2628;MALIJA;IZOLA;2673;7;;;1/1;;7870;;
445458;2628;MALIJA;IZOLA;2674;7;;;1/1;;1190;;
445458;2628;MALIJA;IZOLA;2675;7;;;1/1;;461;;
445458;2628;MALIJA;IZOLA;2777/2;7;;;1/1;;583;;
445458;2628;MALIJA;IZOLA;2778/2;7;;;1/1;;216;;
445458;2628;MALIJA;IZOLA;2780/2;7;;;1/1;;1232;;
445458;2631;PORTOROŽ;PIRAN;2913/2;7;;;1/1;;266;;
445458;2628;MALIJA;IZOLA;2781/2;7;;;1/1;;258;;
445479;2553;GROČANA;HRPELJE-KOZINA;1082/6;5;;;1/1;;71;;
445522;2592;JERNEJ;ANKARAN;1922/5;5;;;1/1;;75;;
445522;2592;JERNEJ;ANKARAN;1922/6;5;;;1/1;;235;;
445522;2592;JERNEJ;ANKARAN;1922/4;5;;;1/1;;222;;
448877;105;MURSKA SOBOTA;MURSKA SOBOTA;602/8;5;;;1/1;;39;;
