ID;Šifrant;Numerična vrednost;Opis
3;Vrsta zemljišča;1;Zemljišče na katerem je mogoče graditi stavbo in ima gradbeno dovoljenje
3;Vrsta zemljišča;2;Zemljišče, na katerem je mogoče graditi stavbo in je komunalno opremljeno (priključki na vodo, elektriko in neposredni dostop do dovozne poti)
3;Vrsta zemljišča;3;Zemljišče, na katerem je ali bo mogoče graditi stavbo in je delno komunalno opremljeno ali komunalno neopremljeno
3;Vrsta zemljišča;4;Zemljišče, na katerem je ali bo mogoče graditi prometno ali energetsko infrastrukturo (cesta, plinovod in drugo)
3;Vrsta zemljišča;5;Zemljišče pod stavbo ali drugo stavbi ali delu stavbe pripadajoče zemljišče (zemljišče pod stavbo, dvorišče, dovozna pot, vrt, zelenica, stanovanjski atrij in podobno)
3;Vrsta zemljišča;6;Zemljišče, na katerem je cesta ali parkirišče
3;Vrsta zemljišča;7;Zemljišče za kmetijsko rabo (njiva, travnik, pašnik) 
3;Vrsta zemljišča;8;Zemljišče za kmetijsko rabo, na katerem je trajni nasad
3;Vrsta zemljišča;9;Zemljišče za gozdno rabo (gozd)
3;Vrsta zemljišča;10;Neplodno ali vodno zemljišče ali drugo neuporabno zemljišče
5;Gradbena faza;1;I. gradbena faza
5;Gradbena faza;2;II. gradbena faza
5;Gradbena faza;3;III. gradbena faza
5;Gradbena faza;4;III. podaljšana faza
5;Gradbena faza;5;IV. gradbena faza
5;Gradbena faza;6;V. gradbena faza
6;Vrsta dela stavbe;1;Stanovanjska hiša
6;Vrsta dela stavbe;2;Stanovanje
6;Vrsta dela stavbe;3;Parkirni prostor
6;Vrsta dela stavbe;4;Garaža
6;Vrsta dela stavbe;5;Pisarniški prostori
6;Vrsta dela stavbe;6;Prostori za poslovanje s strankami
6;Vrsta dela stavbe;7;Prostori za zdravstveno dejavnost
6;Vrsta dela stavbe;8;Trgovski ali storitveni lokal
6;Vrsta dela stavbe;9;Gostinski lokal
6;Vrsta dela stavbe;10;Prostori za šport, kulturo ali izobraževanje
