ID Posla;Šifra KO;Ime KO;Občina;Številka stavbe;Številka dela stavbe;Parcelna številka za geolokacijo;Interna oznaka dela stavbe;Evidentiranost dela stavbe;Naselje;Ulica;Hišna številka;Dodatek HŠ;Številka stanovanja ali poslovnega prostora;Vrsta dela stavbe;Leto izgradnje dela stavbe;Stavba je dokončana;Gradbena faza;Novogradnja;Prodana površina;Prodani delež dela stavbe;Prodana površina dela stavbe;Prodana uporabna površina dela stavbe;Nadstropje dela stavbe;Število zunanjih parkirnih mest;Atrij;Površina atrija;Opombe o nepremičnini;Dejanska raba dela stavbe;Lega dela stavbe v stavbi;Število sob;Površina dela stavbe;Uporabna površina;Prostori dela stavbe;Pogodbena cena dela stavbe;Stopnja DDV dela stavbe
811634;2635;ROGAŠKA SLATINA;ROGAŠKA SLATINA;553;1;;;1;ROGAŠKA SLATINA;ZLATOROGOVA ULICA;5;;;1;1969;1;;;195;1/1;;;;;0;;;1 - stanovanje v enostanovanjski stavbi;pritličje;;195,5;100,7; bivalni prostor | garaža | klet | odprta terasa, balkon, loža;;
809234;2630;PIRAN;PIRAN;492;3;;;1;PIRAN;MATTEOTTIJEVA ULICA;6;;3;2;1900;1;;;61,5;1/1;;;;;0;;;2 - stanovanje;nadstropje;;61,5;59; bivalni prostor | klet;;
810461;1316;STARA VAS;KRŠKO;582;42;;;1;KRŠKO;CESTA 4. JULIJA;64;;41;2;1977;1;;;44;1/1;;;;;0;;;2 - stanovanje;nadstropje;;44;39; bivalni prostor;;
811035;2661;GAJ;SLOVENSKA BISTRICA;8;1;;;1;GAJ;AŠKERČEVA ULICA;15;;;1;1937;1;;;121;1/1;;;;;0;;;1 - stanovanje v enostanovanjski stavbi;pritličje;;121;82,3; bivalni prostor | garaža;;
811849;1620;ŽIMARICE;SODRAŽICA;315;1;;;1;ŽIMARICE;ŽIMARICE;10;;;1;1930;1;;;91,9;1/1;;;;;0;;;1 - stanovanje v enostanovanjski stavbi;pritličje;;91,9;43,9; bivalni prostor | klet;;
809558;2507;TRNJE;PIVKA;78;1;;;1;TRNJE;TRNJE;77;;;1;1934;1;;;87;1/2;;;;;0;;;1 - stanovanje v enostanovanjski stavbi;pritličje;;87;64,5; bivalni prostor | klet;;
792352;1735;STOŽICE;LJUBLJANA;1079;1;;;1;;;;;;4;1965;0;6;;35,1;1/1;;;;;0;;;15 - garaža;pritličje;;35,1;35,1; garaža;;
809235;452;DOLENA;VIDEM;127;1;;;1;;;;;;13;1904;1;;;96;1/1;;;;;0;;;27 - hlev;pritličje;;96;96; kmetijski prostor;;
812566;2223;KOBARID;KOBARID;74;1;;;1;KOBARID;GREGORČIČEVA ULICA;6;;1;2;1900;1;;;88,1;1/1;;;;;0;;;2 - stanovanje;nadstropje;;88,1;88,1; bivalni prostor;;
812659;2507;TRNJE;PIVKA;184;1;;;1;;;;;;13;1800;1;;;20;1/1;;;;;0;;;28 - pomožni kmetijski del stavbe;pritličje;;20;20; kmetijski prostor;;
